SeriesTitle,EpisodeTitle,Season,EpisodeTMSID,SeriesTMSID,,DisplayName,Licensee,AssetLanguage,Territory,TerritoryExclusion,WorkType,EntryType,SeriesTitleDisplayUnlimited,SeasonNumber,DistributionNumber,EpisodeNumber,LocalizationType,EpisodeTitleDisplayUnlimited,SeasonTitleInternalAlias,SeasonTitleDisplayUnlimited,EpisodeCount,SeasonCount,SeriesID,SeasonID,EpisodeTitleID,EpisodeID,SeriesAltID,SeasonAltID,EpisodeAltID,ALID,CompanyDisplayCredit,GroupIdentity,Director,LicenseType,LicenseRightsDescription,FormatProfile,HDR,WCG,HFR,NGAudio,Start,StartLag,End,EndLag,WindowDuration,SpecialPreOrderFulfillDate,PriceType,PriceValue,PriceCurrency,SRP,Description,Download,OtherTerms,OtherInstructions,SeriesContentID,SeasonContentID,EpisodeContentID,AvailID,UV_ID,DMA_ID,ReportingID,Metadata,SuppressionLiftDate,AnnounceDate,ReleaseYear,ReleaseHistoryOriginal,ReleaseHistoryPhysicalHV,ExceptionFlag,RatingSystem,RatingValue,RatingReason,RentalDuration,WatchDuration,FixedEndDate,CaptionIncluded,CaptionExemption,Any,ContractID,TitleStatus,Exclusive,ExclusiveAttributes,BrandingRights,BrandingRightsAttributes,ServiceProvider,TotalRunTime,HoldbackLanguage,AllowedLanguages,RequiredFulfillmentLanguages,RetailerEpisodeID1,RetailerEpisodeID2,RetailerSeasonID,RetailerSeriesID,RetailerSpare1,RetailerSpare2,RetailerSpare3,Notes
Bibleman: The Animated Adventures Volume 5,Dispatching the Grand Duchess’ Disrespectful Desserts,1,EP035571180022,SH035571180000,,pureflix,,,US,,episode,Full Extract,Bibleman: The Animated Adventures Volume 5,1,,1,,Dispatching the Grand Duchess’ Disrespectful Desserts,,,,,,,,,S_1747153475849_351378982845,S1_1747158083910_351383078670,S1_E1_1748161091870_352879142599,S1_E1_1748161091870_352879142599,,pureflixus1,,SVOD,SWP,,,,,,6/30/20,,6/30/26,,,,,,,,,,,,S_1747153475849_351378982845,S1_1747158083910_351383078670,S1_E1_1748161091870_352879142599,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Series not found - deferred for user selection
Bibleman: The Animated Adventures Volume 5,Pulverizing the Plans of the Prince of Pride,1,EP035571180023,SH035571180000,,pureflix,,,US,,episode,Full Extract,Bibleman: The Animated Adventures Volume 5,1,,2,,Pulverizing the Plans of the Prince of Pride,,,,,,,,,S_1747153475849_351378982845,S1_1747158083910_351383078670,S1_E2_1748161091871_352879142609,S1_E2_1748161091871_352879142609,,pureflixus1,,SVOD,SWP,,,,,,6/30/20,,6/30/26,,,,,,,,,,,,S_1747153475849_351378982845,S1_1747158083910_351383078670,S1_E2_1748161091871_352879142609,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Deferred entire series awaiting user selection
Bibleman: The Animated Adventures Volume 5,A Stand for Jesus Foils Dr. Fear,1,EP035571180024,SH035571180000,,pureflix,,,US,,episode,Full Extract,Bibleman: The Animated Adventures Volume 5,1,,3,,A Stand for Jesus Foils Dr. Fear,,,,,,,,,S_1747153475849_351378982845,S1_1747158083910_351383078670,S1_E3_1748161091872_352879142619,S1_E3_1748161091872_352879142619,,pureflixus1,,SVOD,SWP,,,,,,6/30/20,,6/30/26,,,,,,,,,,,,S_1747153475849_351378982845,S1_1747158083910_351383078670,S1_E3_1748161091872_352879142619,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Deferred entire series awaiting user selection
Bibleman: The Animated Adventures Volume 5,Getting Right Wrecks the Ronin of Wrong,1,EP035571180025,SH035571180000,,pureflix,,,US,,episode,Full Extract,Bibleman: The Animated Adventures Volume 5,1,,4,,Getting Right Wrecks the Ronin of Wrong,,,,,,,,,S_1747153475849_351378982845,S1_1747158083910_351383078670,S1_E4_1748161091874_352879142629,S1_E4_1748161091874_352879142629,,pureflixus1,,SVOD,SWP,,,,,,6/30/20,,6/30/26,,,,,,,,,,,,S_1747153475849_351378982845,S1_1747158083910_351383078670,S1_E4_1748161091874_352879142629,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Deferred entire series awaiting user selection
Bibleman: The Animated Adventures Volume 5,Bible Brigade Versus the Ambassador of Ignorance,1,EP035571180026,SH035571180000,,pureflix,,,US,,episode,Full Extract,Bibleman: The Animated Adventures Volume 5,1,,5,,Bible Brigade Versus the Ambassador of Ignorance,,,,,,,,,S_1747153475849_351378982845,S1_1747158083910_351383078670,S1_E5_1748161091876_352879142639,S1_E5_1748161091876_352879142639,,pureflixus1,,SVOD,SWP,,,,,,6/30/20,,6/30/26,,,,,,,,,,,,S_1747153475849_351378982845,S1_1747158083910_351383078670,S1_E5_1748161091876_352879142639,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Deferred entire series awaiting user selection
Biblical Collector's Series,Biblical Old Testament,1,,SH024319970000,,pureflix,,,US,,episode,Full Extract,Biblical Collector's Series,1,,1,,Biblical Old Testament,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E1_655887427836_253283366731,S1_E1_655887427836_253283366731,,pureflixus1,,SVOD,SWP,,,,,,1/19/23,,12/31/25,,,,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E1_655887427836_253283366731,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Episode not found - manual verification needed
Biblical Collector's Series,Biblical Adam and Eve,1,EP024319970004,SH024319970000,,pureflix,,,US,,episode,Full Extract,Biblical Collector's Series,1,,4,,Biblical Adam and Eve,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E4_655887427837_253283366732,S1_E4_655887427837_253283366732,,pureflixus1,,SVOD,SWP,,,,,,1/19/23,,12/31/25,,,,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E4_655887427837_253283366732,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Failed to select season 1
Biblical Collector's Series,Biblical Rapture,1,EP024319970005,SH024319970000,,pureflix,,,US,,episode,Full Extract,Biblical Collector's Series,1,,5,,Biblical Rapture,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E5_655889987618_253283366734,S1_E5_655889987618_253283366734,,pureflixus1,,SVOD,SWP,,,,,,1/19/23,,12/31/25,,,,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E5_655889987618_253283366734,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Failed to select season 1
Biblical Collector's Series,Moses – Man of God,1,EP024319970006,SH024319970000,,pureflix,,,US,,episode,Full Extract,Biblical Collector's Series,1,,6,,Moses – Man of God,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E6_655889987619_253283366733,S1_E6_655889987619_253283366733,,pureflixus1,,SVOD,SWP,,,,,,1/19/23,,12/31/25,,,,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E6_655889987619_253283366733,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Failed to select season 1
Biblical Collector's Series,Early Years of Jesus,1,EP024319970009,SH024319970000,,pureflix,,,US,,episode,Full Extract,Biblical Collector's Series,1,,9,,Early Years of Jesus,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E9_655926339999_253283366737,S1_E9_655926339999_253283366737,,pureflixus1,,SVOD,SWP,,,,,,1/19/23,,12/31/25,,,,,,,,,,,,S_947720771556_253281830495,S1_1052653635882_253231654822,S1_E9_655926339999_253283366737,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Failed to select season 1
